Site	Cup date	Spray date	Collection data	Block	Treatment	AI	Chemtype	Stage	Survived	Sluggish	Dead	Pctalive	Pctslug	Pctdead	Pctslugdead
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Actara	Thiamethoxam	Conventional	Adults	2	0	1	0.67	0	0.33	0.33
NWREC	8/7/2018	8/9/2018	8/10/2018	D	Actara	Thiamethoxam	Conventional	Adults	0	2	2	0	0.5	0.5	1
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Actara	Thiamethoxam	Conventional	Adults	2	0	2	0.5	0	0.5	0.5
NWREC	8/7/2018	8/9/2018	8/10/2018	D	Actara	Thiamethoxam	Conventional	Adults	0	0	3	0	0	1	1
NWREC	8/7/2018	8/9/2018	8/10/2018	D	Actara	Thiamethoxam	Conventional	Adults	0	0	5	0	0	1	1
NWREC	8/7/2018	8/9/2018	8/10/2018	D	Actara	Thiamethoxam	Conventional	Adults	0	0	5	0	0	1	1
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Actara	Thiamethoxam	Conventional	Adults	0	2	6	0	0.25	0.75	1
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Actara	Thiamethoxam	Conventional	Adults	0	0	6	0	0	1	1
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Actara	Thiamethoxam	Conventional	Adults	0	0	6	0	0	1	1
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Actara	Thiamethoxam	Conventional	Adults	0	0	6	0	0	1	1
NWREC	8/7/2018	8/9/2018	8/10/2018	D	Actara	Thiamethoxam	Conventional	Adults	0	0	6	0	0	1	1
NWREC	8/7/2018	8/9/2018	8/10/2018	D	Actara	Thiamethoxam	Conventional	Adults	0	0	6	0	0	1	1
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Actara	Thiamethoxam	Conventional	Adults	0	0	7	0	0	1	1
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Actara	Thiamethoxam	Conventional	Adults	0	0	7	0	0	1	1
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Actara	Thiamethoxam	Conventional	Adults	0	0	10	0	0	1	1
NWREC	8/7/2018	8/9/2018	8/10/2018	D	Admire	Imidacloprid	Conventional	Adults	0	2	2	0	0.5	0.5	1
NWREC	8/7/2018	8/9/2018	8/10/2018	D	Admire	Imidacloprid	Conventional	Adults	2	1	3	0.33	0.17	0.5	0.67
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Admire	Imidacloprid	Conventional	Adults	0	0	3	0	0	1	1
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Admire	Imidacloprid	Conventional	Adults	0	0	4	0	0	1	1
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Admire	Imidacloprid	Conventional	Adults	0	2	5	0	0.29	0.71	1
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Admire	Imidacloprid	Conventional	Adults	0	0	5	0	0	1	1
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Admire	Imidacloprid	Conventional	Adults	0	0	5	0	0	1	1
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Admire	Imidacloprid	Conventional	Adults	1	0	5	0.17	0	0.83	0.83
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Admire	Imidacloprid	Conventional	Adults	1	0	5	0.17	0	0.83	0.83
NWREC	8/7/2018	8/9/2018	8/10/2018	D	Admire	Imidacloprid	Conventional	Adults	0	1	6	0	0.14	0.86	1
NWREC	8/7/2018	8/9/2018	8/10/2018	D	Admire	Imidacloprid	Conventional	Adults	0	1	6	0	0.14	0.86	1
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Admire	Imidacloprid	Conventional	Adults	1	0	6	0.14	0	0.86	0.86
NWREC	8/7/2018	8/9/2018	8/10/2018	D	Admire	Imidacloprid	Conventional	Adults	1	0	6	0.14	0	0.86	0.86
NWREC	8/7/2018	8/9/2018	8/10/2018	D	Admire	Imidacloprid	Conventional	Adults	0	0	6	0	0	1	1
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Admire	Imidacloprid	Conventional	Adults	0	0	7	0	0	1	1
NWREC	7/23/2018	7/24/2018	7/25/2018	C	Admire	Imidacloprid	Conventional	Adults	0	0	7	0	0	1	1
Williams	6/25/2018	6/27/2018	6/28/2018	A	Altacor	Chlorantraniliprole	Conventional	Adults	4	0	0	1	0	0	0
Williams	6/25/2018	6/27/2018	6/28/2018	A	Altacor	Chlorantraniliprole	Conventional	Adults	6	0	0	1	0	0	0
Williams	6/25/2018	6/27/2018	6/28/2018	A	Altacor	Chlorantraniliprole	Conventional	Adults	8	0	0	1	0	0	0
Williams	6/25/2018	6/27/2018	6/28/2018	A	Altacor	Chlorantraniliprole	Conventional	Adults	8	0	0	1	0	0	0
Williams	6/25/2018	6/27/2018	6/28/2018	A	Altacor	Chlorantraniliprole	Conventional	Adults	8	0	0	1	0	0	0
Williams	6/25/2018	6/27/2018	6/28/2018	A	Altacor	Chlorantraniliprole	Conventional	Adults	9	0	0	1	0	0	0
Williams	8/27/2018	8/28/2018	8/29/2018	E	Altacor	Chlorantraniliprole	Conventional	Adults	3	0	1	0.75	0	0.25	0.25
Williams	8/27/2018	8/28/2018	8/29/2018	E	Altacor	Chlorantraniliprole	Conventional	Adults	2	1	2	0.4	0.2	0.4	0.6
Williams	8/27/2018	8/28/2018	8/29/2018	E	Altacor	Chlorantraniliprole	Conventional	Adults	2	2	3	0.29	0.29	0.43	0.71
Williams	8/27/2018	8/28/2018	8/29/2018	E	Altacor	Chlorantraniliprole	Conventional	Adults	0	0	4	0	0	1	1
Williams	8/27/2018	8/28/2018	8/29/2018	E	Altacor	Chlorantraniliprole	Conventional	Adults	5	2	0	0.71	0.29	0	0.29
Baruch	6/29/2018	7/1/2018	7/3/2018	B	Asana	Esfenvalerate	Conventional	Adults	3	1	3	0.43	0.14	0.43	0.57
Williams	6/25/2018	6/27/2018	6/28/2018	A	Asana	Esfenvalerate	Conventional	Adults	4	1	4	0.44	0.11	0.44	0.56
Williams	6/25/2018	6/27/2018	6/28/2018	A	Asana	Esfenvalerate	Conventional	Adults	3	2	4	0.33	0.22	0.44	0.67
Williams	6/25/2018	6/27/2018	6/28/2018	A	Asana	Esfenvalerate	Conventional	Adults	1	1	5	0.14	0.14	0.71	0.86
Baruch	6/29/2018	7/1/2018	7/3/2018	B	Asana	Esfenvalerate	Conventional	Adults	0	0	6	0	0	1	1
