Date	Time start	Chemical	AI	Aiabbrev	Treatment	Interval	Totwasps	1 hr dead	2 hr dead	4 hr dead	6 hr dead	24 hr dead	Pctdead1hr	Pctdead2hr	Pctdead4hr	Pctdead6hr	Pctdead24hr	Pctalive24hr
12/5/2017	9:20	Actara	Thiamethoxam	Thiam	0.39 mg	overnight	5	4	5	5	5	5	0.8	1	1	1	1	0
12/5/2017	9:20	Actara	Thiamethoxam	Thiam	0.39 mg	overnight	5	4	5	5	5	5	0.8	1	1	1	1	0
12/5/2017	9:20	Actara	Thiamethoxam	Thiam	0.39 mg	overnight	5	4	4	4	5	5	0.8	0.8	0.8	1	1	0
12/5/2017	9:20	Actara	Thiamethoxam	Thiam	0.39 mg	overnight	5	5	5	5	5	5	1	1	1	1	1	0
12/5/2017	9:20	Actara	Thiamethoxam	Thiam	0.39 mg	overnight	6	4	5	6	6	6	0.666666667	0.833333333	1	1	1	0
12/20/2017	8:10	Actara	Thiamethoxam	Thiam	high	7 day	6	6	6	6	6	6	1	1	1	1	1	0
12/20/2017	8:10	Actara	Thiamethoxam	Thiam	high	7 day	7	6	7	7	7	7	0.857142857	1	1	1	1	0
12/20/2017	8:10	Actara	Thiamethoxam	Thiam	high	7 day	7	4	7	7	7	7	0.571428571	1	1	1	1	0
12/20/2017	8:10	Actara	Thiamethoxam	Thiam	high	7 day	5	3	5	5	5	5	0.6	1	1	1	1	0
12/20/2017	8:10	Actara	Thiamethoxam	Thiam	high	7 day	7	4	7	7	7	7	0.571428571	1	1	1	1	0
10/31/2018	9:00	Actara	Thiamethoxam	Thiam		overnight	5	5	5	5	5	5	1	1	1	1	1	0
10/31/2018	9:00	Actara	Thiamethoxam	Thiam		overnight	5	4	5	5	5	5	0.8	1	1	1	1	0
12/22/2017	9:05	Admire	Imidacloprid	Imid	high	2 day	8	6	7	8	8	8	0.75	0.875	1	1	1	0
12/22/2017	9:05	Admire	Imidacloprid	Imid	high	2 day	8	2	2	3	3	6	0.25	0.25	0.375	0.375	0.75	0.25
12/22/2017	9:05	Admire	Imidacloprid	Imid	high	2 day	10	9	9	9	9	10	0.9	0.9	0.9	0.9	1	0
